,state_district,post,phase2,pct_rural,pct_urban,count,hw70_mean,hw71_mean,hw72_mean,stunting_pct,underweight_pct,wasting_pct,scst,state,district,matched_census_district,merge_state,merge_district,Literate_Prop,SCST_Prop,Population
1793,tamil nadu - virudhunagar,0,1,59.18367346938776,40.81632653061224,37,-110.97297297297295,-151.3783783783784,-123.70270270270272,27.027027027027028,37.83783783783784,27.027027027027028,1,tamil nadu,virudhunagar,virudhunagar,tamil nadu,virudhunagar,0.7201753807880191,0.20703675253103557,1942288.0
1794,tamil nadu - virudhunagar,1,1,54.48717948717948,45.51282051282051,101,-96.62376237623762,-96.07920792079209,-61.415841584158414,20.792079207920796,19.8019801980198,15.84158415841584,0,tamil nadu,virudhunagar,virudhunagar,tamil nadu,virudhunagar,0.7201753807880191,0.20703675253103557,1942288.0
1795,tamil nadu - virudhunagar,1,1,54.48717948717948,45.51282051282051,55,-137.1090909090909,-119.12727272727273,-62.38181818181818,36.36363636363637,23.63636363636364,12.727272727272728,1,tamil nadu,virudhunagar,virudhunagar,tamil nadu,virudhunagar,0.7201753807880191,0.20703675253103557,1942288.0
1796,telangana - adilabad,0,0,86.875,13.125,75,-123.57333333333334,-142.22666666666666,-96.97333333333331,25.333333333333336,26.666666666666668,20.0,0,telangana,adilabad,adilabad,telangana,adilabad,,,
1797,telangana - adilabad,0,0,86.875,13.125,85,-159.09411764705882,-171.7058823529412,-117.48235294117649,45.88235294117647,43.52941176470589,24.705882352941178,1,telangana,adilabad,adilabad,telangana,adilabad,,,
1798,telangana - adilabad,1,0,83.42245989304813,16.577540106951872,76,-181.1315789473684,-181.8815789473684,-115.07894736842104,46.05263157894737,48.68421052631579,27.631578947368425,0,telangana,adilabad,adilabad,telangana,adilabad,,,
1799,telangana - adilabad,1,0,83.42245989304813,16.577540106951872,111,-173.07207207207207,-189.6216216216216,-129.86486486486487,45.94594594594595,49.549549549549546,33.33333333333333,1,telangana,adilabad,adilabad,telangana,adilabad,,,
1800,telangana - hyderabad,0,0,0.0,100.0,91,-75.6043956043956,-90.07692307692308,-70.12087912087912,19.78021978021978,15.384615384615383,13.186813186813188,0,telangana,hyderabad,hyderabad,telangana,hyderabad,,,
1801,telangana - hyderabad,0,0,0.0,100.0,42,-103.92857142857144,-129.14285714285714,-107.5952380952381,19.047619047619047,23.809523809523807,23.809523809523807,1,telangana,hyderabad,hyderabad,telangana,hyderabad,,,
1802,telangana - hyderabad,1,0,0.0,100.0,38,-124.52631578947368,-113.28947368421052,-63.28947368421053,28.947368421052637,13.157894736842104,13.157894736842104,0,telangana,hyderabad,hyderabad,telangana,hyderabad,,,
1803,telangana - hyderabad,1,0,0.0,100.0,28,-57.785714285714285,-97.78571428571428,-92.0,32.142857142857146,17.857142857142858,21.428571428571427,1,telangana,hyderabad,hyderabad,telangana,hyderabad,,,
1804,telangana - karimnagar,0,0,73.37662337662337,26.623376623376625,120,-107.325,-124.79166666666669,-93.25833333333334,25.0,25.833333333333336,20.0,0,telangana,karimnagar,karimnagar,telangana,karimnagar,,,
1805,telangana - karimnagar,0,0,73.37662337662337,26.623376623376625,34,-122.97058823529412,-145.55882352941177,-107.82352941176472,26.47058823529412,29.411764705882355,26.47058823529412,1,telangana,karimnagar,karimnagar,telangana,karimnagar,,,
1806,telangana - karimnagar,1,0,71.7557251908397,28.24427480916031,96,-118.03125,-113.10416666666669,-68.95833333333333,28.125,20.833333333333336,13.541666666666666,0,telangana,karimnagar,karimnagar,telangana,karimnagar,,,
1807,telangana - karimnagar,1,0,71.7557251908397,28.24427480916031,35,-168.88571428571427,-159.42857142857142,-86.11428571428571,45.71428571428572,37.142857142857146,17.142857142857142,1,telangana,karimnagar,karimnagar,telangana,karimnagar,,,
1808,telangana - khammam,0,0,82.02247191011236,17.97752808988764,101,-93.3861386138614,-118.6039603960396,-95.22772277227725,22.77227722772277,18.81188118811881,13.861386138613865,0,telangana,khammam,khammam,telangana,khammam,,,
1809,telangana - khammam,0,0,82.02247191011236,17.97752808988764,77,-148.5064935064935,-154.7012987012987,-105.76623376623375,32.467532467532465,25.97402597402597,12.987012987012983,1,telangana,khammam,khammam,telangana,khammam,,,
1810,telangana - khammam,1,0,80.88235294117648,19.11764705882353,87,-72.60919540229885,-128.2528735632184,-125.60919540229884,17.24137931034483,24.13793103448276,26.436781609195403,0,telangana,khammam,khammam,telangana,khammam,,,
1811,telangana - khammam,1,0,80.88235294117648,19.11764705882353,49,-102.10204081632654,-113.6938775510204,-80.36734693877551,26.53061224489796,24.489795918367346,18.367346938775512,1,telangana,khammam,khammam,telangana,khammam,,,
1812,telangana - medak,0,0,76.31578947368422,23.684210526315788,110,-144.95454545454547,-163.83636363636364,-116.22727272727272,32.72727272727273,34.54545454545455,22.727272727272727,0,telangana,medak,medak,telangana,medak,,,
1813,telangana - medak,0,0,76.31578947368422,23.684210526315788,42,-178.85714285714286,-180.33333333333331,-111.4047619047619,45.23809523809524,47.61904761904761,19.047619047619047,1,telangana,medak,medak,telangana,medak,,,
1814,telangana - medak,1,0,88.96103896103897,11.03896103896104,95,-160.68421052631578,-183.77894736842103,-132.0842105263158,43.15789473684211,44.21052631578947,23.157894736842103,0,telangana,medak,medak,telangana,medak,,,
1815,telangana - medak,1,0,88.96103896103897,11.03896103896104,59,-146.33898305084745,-173.35593220338984,-128.23728813559322,33.89830508474576,44.06779661016949,18.64406779661017,1,telangana,medak,medak,telangana,medak,,,
1816,telangana - nalgonda,0,0,84.83412322274881,15.165876777251183,149,-119.99328859060402,-145.73154362416108,-109.36241610738254,30.87248322147651,32.88590604026846,24.832214765100677,0,telangana,nalgonda,nalgonda,telangana,nalgonda,,,
1817,telangana - nalgonda,0,0,84.83412322274881,15.165876777251183,62,-127.0483870967742,-164.9516129032258,-134.98387096774192,25.806451612903224,35.483870967741936,22.58064516129032,1,telangana,nalgonda,nalgonda,telangana,nalgonda,,,
1818,telangana - nalgonda,1,0,79.86577181208054,20.13422818791946,98,-97.8061224489796,-151.4387755102041,-135.25510204081633,31.63265306122449,29.59183673469388,27.55102040816326,0,telangana,nalgonda,nalgonda,telangana,nalgonda,,,
1819,telangana - nalgonda,1,0,79.86577181208054,20.13422818791946,51,-119.37254901960785,-146.2156862745098,-117.1372549019608,31.37254901960784,27.450980392156865,31.37254901960784,1,telangana,nalgonda,nalgonda,telangana,nalgonda,,,
1820,telangana - nizamabad,0,0,93.67816091954025,6.321839080459771,123,-130.9430894308943,-156.3089430894309,-115.77235772357724,35.77235772357724,37.39837398373984,19.51219512195122,0,telangana,nizamabad,nizamabad,telangana,nizamabad,,,
